an;cod_fiscal;nume;loc;str;nr;di;dp;fax;sect;tel;jud_com;nr_com;an_com;act_aut;tva;sfarsit;cp;data_stare;stare;judet;imp_100;imp_120;imp_200;imp_410;imp_416;imp_420;imp_423;imp_430;imp_439;imp_500;imp_602;imp_701;imp_710;imp_755;imp_756;bilanturi;bilantultim;imp_412;imp_480;imp_432;detalii_adresa;bloc;scara;etaj;ap;cod fiscal;CAEN;CAENO;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;DEN_CAENO;DEN_CAEN
2018;13037656;COMPOSESORATUL HEGYES-JIROS;Mereni;Mereni;FN;15 Ianuarie   2020;15 Ianuarie   2020;;;;;;null;354/19.04.2000;01-07-2001;null;527112;23 Mai        2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13037656;210;9499;148177;753318;0;146287;607031;755208;0;0;0;755208;0;755208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460471;0;422007;0;38464;0;0;0;460471;0;422007;0;38464;0;0;0;2;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13037729;COMPOSESORATUL DE PADURE SI PASUNE BATANII MARI;B«Óanii Mari;B«Óanii Mari;526;05 Aprilie    2017;02 Ianuarie   2018;;;114;;;null;2510/305/2015;01-03-2008;null;527020;23 Mai        2000;INREGISTRAT;COVASNA;01-01-2008;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13037729;210;9499;1326367;1716360;0;183219;1533141;2859508;0;0;135672;2723836;0;2723836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1434115;0;1332345;0;101770;0;0;0;1434115;0;1332345;0;101770;0;0;0;10;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13063280;COMPOSESORATUL BELIN;Belin;Belin;390;18 Februarie  2019;19 Februarie  2019;;;067-355760;;;null;SENT.CIV. NR.796/17.04.2000;01-12-2001;null;527030;31 Mai        2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2017;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13063280;210;9499;72127;441654;479600;488829;259524;331651;0;0;172901;331651;0;331651;280000;475581;280000;475581;0;0;0;0;0;0;0;0;0;0;0;0;0;616782;0;608785;0;7997;0;0;280000;1092363;280000;1084366;0;7997;0;0;0;5;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13063337;COMPOSESORATUL OLVES;Z«bala;Z«bala;483;13 Iunie      2016;19 Iulie      2016;;;;;;null;SENT.CIV. NR.377/26.04.2000;01-02-2003;null;527190;31 Mai        2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;WEB_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;NU;NU;NU;;;;;;13063337;9499;9499;3938;1465561;0;0;1465561;1469499;182140;0;0;1287359;0;1287359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1261357;0;391678;0;869679;0;0;0;1261357;0;391678;0;869679;0;0;0;0;Activitati ale altor organizatii n.c.a.;Activitati ale altor organizatii n.c.a.
2018;13063914;"COMPOSESORATUL ""ARKOSI VADAS KOZBIRTOKOSSAG""";Arcu≠;Arcu≠;239;04 Iulie      2018;05 Iulie      2018;;;;;;null;SENT.CIV. NR.697/07.04.2000;01-03-2001;null;527166;31 Mai        2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2014;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13063914;9499;9499;925188;222600;0;163612;58988;984176;0;0;0;984176;0;984176;0;312692;0;312692;0;0;0;0;0;0;0;0;0;0;0;0;0;1382905;0;919062;0;463843;0;0;0;1695597;0;1231754;0;463843;0;0;0;4;Activitati ale altor organizatii n.c.a.;Activitati ale altor organizatii n.c.a.
2018;13063949;"COMPOSESORATUL ""SILVO - FOR""";Valea Seac«;Valea Seac«;18;16 Februarie  2016;17 Aprilie    2018;;;;;;null;SENT.CIV. NR.345/18.04.2000;NU;null;527153;31 Mai        2000;INREGISTRAT;COVASNA;01-01-2002;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2016;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13063949;210;9499;2465;162912;0;41661;121251;123716;0;0;0;123716;0;123716;0;13880;0;13880;0;0;0;0;0;0;0;0;0;0;0;0;0;130856;0;85554;0;45302;0;0;0;144736;0;99434;0;45302;0;0;0;1;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13064014;"COMPOSESORATUL ""RACOSUL DE SUS""";Raco≠ul de Sus;Raco≠ul de Sus;320/A;14 Octombrie  2019;14 Octombrie  2019;;;0752093937;;;null;SENT.CIV. NR.996/05.05.2000;01-11-2007;null;525105;31 Mai        2000;INREGISTRAT;COVASNA;01-01-2004;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018;;01-01-2018;01-01-2018;01-01-2018;;;;;;13064014;210;9499;787114;497586;108011;369701;235896;1023010;0;0;0;1023010;0;1023010;236253;236253;236253;236253;0;0;0;0;0;0;0;0;0;0;0;0;909733;909733;750054;750054;159679;159679;0;0;1145986;1145986;986307;986307;159679;159679;0;0;0;5;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13077375;COMPOSESORATUL LUTOASA;Lutoasa;Lutoasa;110;26 Ianuarie   2015;17 Aprilie    2018;;;;;;null;SENT.CIV. NR.386/20.04.2000;01-10-2002;null;527111;05 Iunie      2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13077375;210;9499;6524;154559;0;53476;101083;107607;0;0;0;107607;0;107607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148580;0;155040;0;0;0;6460;0;148580;0;155040;0;0;0;6460;0;0;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13085025;"COMPOSESORATUL ""ESTELNIC""";Estelnic;Estelnic;421;14 Ianuarie   2020;14 Ianuarie   2020;;;366676;;;null;SENT.CIV. NR.343/18.04.2000;01-10-2001;null;527143;07 Iunie      2000;INREGISTRAT;COVASNA;01-01-2009;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13085025;210;9499;233036;482489;0;176492;305997;539033;0;0;0;539033;0;539033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;551826;0;359256;0;192570;0;0;0;551826;0;359256;0;192570;0;0;0;2;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13085092;COMPOSESORATUL SATULUI BODOS;Bodo≠;Bodo≠;106;26 Ianuarie   2015;17 Aprilie    2018;;;355394;;;null;SENT.CIV. NR.838/21.04.2000;01-01-2005;null;525102;07 Iunie      2000;INREGISTRAT;COVASNA;01-01-2004;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018;;01-01-2018;01-01-2018;01-01-2018;;;;;;13085092;210;9499;166283;403450;3355;164242;242563;408846;0;0;0;408846;0;408846;69230;84762;15000;80242;54230;4520;0;0;0;0;0;0;0;0;0;0;205000;371389;120761;240523;84239;130866;0;0;274230;456151;135761;320765;138469;135386;0;0;0;3;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13085106;"COMPOSESORATUL ""KOKENYES""";Dalnic;Dalnic;238;18 Septembrie 2018;18 Septembrie 2018;;;;;;null;SENT.CIV. NR.371/25.04.2000;NU;null;527121;07 Iunie      2000;INREGISTRAT;COVASNA;07-06-2000;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-08-2018;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-08-2018;01-08-2018;01-08-2018;;;;;;13085106;210;9499;0;332020;0;108962;223058;223058;0;0;0;223058;0;223058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156146;0;67555;0;88591;0;0;0;156146;0;67555;0;88591;0;0;0;3;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13085114;"COMPOSESORATUL ""POJANKA""";Z«bala;Z«bala;483;01 Iulie      2011;01 Iulie      2011;;;;;;null;SENT.CIV. NR.383/26.04.2000;NU;null;527190;07 Iunie      2000;INREGISTRAT;COVASNA;01-06-2000;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;NU;NU;NU;;;;;;13085114;9499;9499;0;56014;0;29679;26335;26335;0;0;0;26335;0;26335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37995;0;11722;0;26273;0;0;0;37995;0;11722;0;26273;0;0;0;0;Activitati ale altor organizatii n.c.a.;Activitati ale altor organizatii n.c.a.
2018;13124345;"COMPOSESORATUL ""FAGUS"" SINZIENI";SÉnzieni;SÉnzieni;639;12 Ianuarie   2015;02 Ianuarie   2018;;;;;;null;SENT.CIV. NR.357/02.06.2000;01-06-2001;null;527150;20 Iunie      2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13124345;210;9499;501346;1000145;0;546234;453911;955257;0;0;0;955257;0;955257;0;102989;0;94245;0;8744;0;0;0;0;0;0;0;0;0;0;0;1567531;0;1661784;0;0;0;94253;0;1670520;0;1756029;0;0;0;85509;0;4;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13174955;COMPOSESORATUL SZACSVAI ERDO KOZBIRTOKOSSAG;Saciova;Saciova;7;25 Noiembrie  2019;26 Noiembrie  2019;;;;;;null;SENT.CIV. NR.837/21.04.2000;NU;null;527148;07 Iulie      2000;INREGISTRAT;COVASNA;01-01-2016;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU; ;;NU;NU;NU;;;;;;13174955;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK;#HIµNYZIK
2018;13174963;COMPOSESORATUL CAPENI;C«peni;C«peni;188;26 Ianuarie   2015;02 Ianuarie   2018;0267379302;;379302;;;null;SENT.CIV. NR.1000/05.05.2000 JUDEC.SF.GHE.;01-01-2004;null;525103;07 Iulie      2000;INREGISTRAT;COVASNA;01-01-2005;NU;NU;NU;NU;NU;NU;NU;NU;NU;14-05-2014;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13174963;210;9499;75999;417188;500;44820;372868;448867;0;0;0;448867;0;448867;0;121281;0;90480;0;30801;0;0;0;0;0;0;0;0;0;0;0;442076;0;292174;0;149902;0;0;0;563357;0;382654;0;180703;0;0;0;2;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13179758;"COMPOSESORATUL ""CSOKAHAZ""";Z«bala;Z«bala;370736370;23 Ianuarie   2014;24 Iunie      2014;;;;;;null;SENT.CIV. NR.401/26.04.2000;01-12-2011;null;527190;10 Iulie      2000;INREGISTRAT;COVASNA;10-07-2000;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;NU;NU;NU;;;;;;13179758;210;9499;0;169002;0;25635;143367;143367;0;0;0;143367;0;143367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167485;0;57218;0;110267;0;0;0;167485;0;57218;0;110267;0;0;0;0;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13205962;COMPOSESORATUL AITA MEDIE - KOZEPAJTAI KOZBIRTOKOSSAG;Aita Medie;Aita Medie;71;30 Mai        2018;04 Iunie      2018;;;;;;null;SENT.CIV. NR.742/14.04.2000;01-07-2004;null;527006;18 Iulie      2000;INREGISTRAT;COVASNA;19-04-2004;NU;NU;NU;NU;NU;NU;NU;NU;NU;15-05-2018;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018;;15-05-2018;15-05-2018;15-05-2018;;;;;;13205962;210;9499;219758;852454;364;193035;659783;879541;0;0;0;879541;0;879541;329085;329085;329085;329085;0;0;0;0;0;0;0;0;0;0;0;0;1192277;1192277;731106;731106;461171;461171;0;0;1521362;1521362;1060191;1060191;461171;461171;0;0;0;1;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13206119;COMPOSESORATUL PADUREA MICA - KISERDOBIRTOKOSSAG;Boro≠neu Mare;Borosneu Mare;13;26 Ianuarie   2015;11 Martie     2015;;;;;;null;SENT.CIV. NR.740/14.04.2000;18-07-2000;null;527040;18 Iulie      2000;INREGISTRAT;COVASNA;01-01-2007;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;NU;NU;NU;;;;;;13206119;210;9412;27093;276320;0;200023;76297;103390;0;0;0;103390;0;103390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323729;0;320322;0;3407;0;0;0;323729;0;320322;0;3407;0;0;0;0;Activitati ale organizatiilor profesionale;Silvicultura si alte activitati forestiere
2018;13221763;"COMPOSESORATUL ""JAKABHAVASA"" - ZABALA";Z«bala;Z«bala;483;24 Ianuarie   2012;27 Martie     2012;;;;;;null;H.J. NR.388/26.04.2000;NU;null;527190;24 Iulie      2000;INREGISTRAT;COVASNA;01-06-2006;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;NU;NU;NU;;;;;;13221763;210;9412;0;100116;0;95219;4897;4897;0;0;0;4897;0;4897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68003;0;65604;0;2399;0;0;0;68003;0;65604;0;2399;0;0;0;0;Activitati ale organizatiilor profesionale;Silvicultura si alte activitati forestiere
